id,director,actor1,actor2,actor3,genres,keywords,title
1970,takashishimizu,sarahmichellegellar,jasonbehr,williammapother,Horror Mystery Thriller,"nurs hous remak tokyo, japan",The Grudge
443791,williameubank,kristenstewart,vincentcassel,mamoudouathie,Action Horror Science Fiction,monster self sacrific animal attack disast giant monst female protagonist underwat,Underwater
526019,miguelarteta,tiffanyhaddish,rosebyrne,salmahayek,Comedy,,Like a Boss
418533,jonavnet,richardgere,peterdinklage,waltongoggins,Drama,,Three Christs
634904,anthonyjerjen,joshhartnett,margaritalevieva,owenteague,Crime Thriller Drama,small town ohio drug deal drug famili,Inherit the Viper
477036,andrewdesmond,freyatingley,simonabkarian,rutgerhauer,Horror Thriller Mystery,,The Sonata
527534,danielfarrands,menasuvari,nickstahl,tarynmanning,Thriller Drama Crime,,The Murder of Nicole Brown Simpson
38700,adilelarbi,willsmith,martinlawrence,paolanuñez,Thriller Action Crime,detect polic sequel police offic police detect buddy film action hero,Bad Boys for Life
448119,stephengaghan,robertdowneyjr.,antoniobanderas,michaelsheen,Family Fantasy Adventure,based on novel or book victorian england doctor based on children's book,Dolittle
651070,tylerperry,crystalfox,phyliciarashād,breshawebb,Drama Thriller Mystery,,A Fall from Grace
522627,guyritchie,matthewmcconaughey,charliehunnam,henrygolding,Comedy Crime,"london, england dark comedi",The Gentlemen
492611,floriasigismondi,mackenziedavis,finnwolfhard,brooklynnprince,Horror Thriller,based on novel or book woman director,The Turning
442065,toddrobinson,sebastianstan,christopherplummer,williamhurt,War Drama,vietnam war,The Last Full Measure
197725,markhenn,alfrewoodard,timhodge,geoffreyjones,Animation Drama Family,,John Henry
466622,reedmorano,blakelively,judelaw,sterlingk.brown,Action Thriller,spi based on novel or book reveng,The Rhythm Section
542224,ozperkins,sophialillis,samuelleakey,alicekrige,Fantasy Horror Mystery,witch wood witchcraft based on fairy tal brother sister relationship supernatural pow,Gretel & Hansel
627463,kittygreen,juliagarner,matthewmacfadyen,makenzieleigh,Drama,movie busi woman director,The Assistant
495764,cathyyan,margotrobbie,ewanmcgregor,maryelizabethwinstead,Action Crime,polic psychopath superhero based on com betray organized crim shootout female protagonist orphan police offic police detect spin off woman director dc extended univers supernatural pow,Birds of Prey
474764,veronikafranz,rileykeough,jaedenmartell,liamchugh,Drama Horror Thriller,suicid winter cabin thanksgiv murder snow divorc christma,The Lodge
550440,tommccarthy,winslowfegley,ophelialovibond,wallaceshawn,Family Mystery Comedy Fantasy,detect,Timmy Failure: Mistakes Were Made
653601,jeffbaena,alisonbrie,debbyryan,johnreynolds,Drama,roommat supernatur date co-workers relationship mental il,Horse Girl
565426,michaelfimognari,lanacondor,noahcentineo,jordanfisher,Romance Comedy,love triangl based on novel or book sequel,To All the Boys: P.S. I Still Love You
675353,jefffowler,jamesmarsden,benschwartz,tikasumpter,Action Adventure Family Comedy,sequel based on video gam duringcreditssting,Sonic the Hedgehog
539537,jeffwadlow,michaelpeña,maggieq,lucyhale,Horror Fantasy Adventure Mystery Action,cave,Fantasy Island
589049,stellameghie,issarae,lakeithstanfield,chantéadams,Drama Romance,,The Photograph
560391,natfaxon,julialouis-dreyfus,willferrell,mirandaotto,Drama Comedy,husband wife relationship dark comedi,Downhill
663255,drewmylrea,poppydelevingne,drewvanacker,davesheridan,Action Adventure Comedy,,Spy Intervention
520390,lonescherfig,zoekazan,andreariseborough,taharrahim,Drama,,The Kindness of Strangers
481848,chrissanders,harrisonford,danstevens,colinwoodell,Adventure Family Drama,based on novel or book dog 19th centuri,The Call of the Wild
556678,autumndewilde,anyataylor-joy,johnnyflynn,josho'connor,Comedy Romance,based on novel or book 19th centuri,Emma
505225,deerees,annehathaway,benaffleck,rosieperez,Drama Thriller,based on novel or book co-workers relationship woman director 1980s father daughter relationship,The Last Thing He Wanted
555974,williambrentbell,katieholmes,christopherconvery,owainyeoman,Horror Mystery Thriller,murder home invas,Brahms: The Boy II
526007,michaelcristofer,tyesheridan,anadearmas,helenhunt,Thriller Crime Drama,hotel murder,The Night Clerk
566927,chrishenchy,paulaabdul,joegatto,jamesmurray,Comedy,prank,Impractical Jokers: The Movie
570670,leighwhannell,elisabethmoss,aldishodge,stormreid,Thriller Science Fiction Horror,based on novel or book pregnanc stalker murder police detect,The Invisible Man
342470,bretthaley,ellefanning,justicesmith,alexandrashipp,Romance Drama,suicid based on novel or book based on young adult novel,All the Bright Places
61717,johnlaing,brendasong,shinkoyamada,susanchuang,Family Action Adventure TV Movie,martial art,Wendy
457335,jasonleihowden,danielradcliffe,samaraweaving,natashaliubordizzo,Comedy Action,superhero,Guns Akimbo
508439,danscanlon,tomholland,chrispratt,julialouis-dreyfus,Family Animation Adventure Comedy Fantasy Action,magic teenage protagonist stereoscop,Onward
529485,gavino'connor,benaffleck,almadrigal,michaelawatkins,Drama,alcohol,The Way Back
581600,peterberg,markwahlberg,winstonduke,alanarkin,Comedy Action Thriller,"based on novel or book boston, massachusett polic ex-cop ex-con",Spenser Confidential
627725,georgenolfi,anthonymackie,samuell.jackson,nicholashoult,Drama,"based on true stori racism los angeles, california 1960s",The Banker
566872,giuseppecapotondi,claesbang,elizabethdebicki,mickjagger,Thriller,murder,The Burnt Orange Heresy
586461,carlomirabella-davis,haleybennett,austinstowell,elizabethmarvel,Drama Thriller,,Swallow
558582,kellyreichardt,johnmagaro,orionlee,tobyjones,Drama Western,based on novel or book immigr 19th centuri,First Cow
338762,davewilson,vindiesel,eizagonzález,samheughan,Action Science Fiction,superhero based on com psychotron,Bloodshot
514847,craigzobel,bettygilpin,hilaryswank,ethansuplee,Action Thriller Horror,satir murder dark comedi gore,The Hunt
585244,jonerwin,k.j.apa,brittrobertson,nathanparsons,Music Drama Romance,biographi romanc,I Still Believe
