id,director,actor1,actor2,actor3,genres,keywords,title,comb
522016,simonkinberg,jessicachastain,lupitanyong'o,penélopecruz,Action Thriller,spi agent,the 355,Action Thriller spi agent jessicachastain lupitanyong'o penélopecruz simonkinberg
739890,davidjones,elizabethselby,faustoolmosrentería,austinbuchanan,Horror,,the legend of la llorona,Horror  elizabethselby faustoolmosrentería austinbuchanan davidjones
753232,asifakbar,michaeljaiwhite,mickeyrourke,jefffahey,Action Crime Thriller,,the commando,Action Crime Thriller  michaeljaiwhite mickeyrourke jefffahey asifakbar
766907,edwarddrake,timothyv.murphy,brucewillis,robgough,Action Thriller Crime Drama,,american siege,Action Thriller Crime Drama  timothyv.murphy brucewillis robgough edwarddrake
646385,mattbettinelli-olpin,melissabarrera,masongooding,jennaortega,Horror Mystery Thriller,mask hallucin murder serial kil hospit slasher whodunit hometown reboot murder mysteri murder spre,scream,Horror Mystery Thriller mask hallucin murder serial kil hospit slasher whodunit hometown reboot murder mysteri murder spre melissabarrera masongooding jennaortega mattbettinelli-olpin
585083,derekdrymon,selenagomez,andysamberg,kathrynhahn,Animation Comedy Family Fantasy Adventure,monster vampir aftercreditssting duringcreditssting,hotel transylvania: transformania,Animation Comedy Family Fantasy Adventure monster vampir aftercreditssting duringcreditssting selenagomez andysamberg kathrynhahn derekdrymon
844398,luisprieto,cameronmonaghan,lillykrug,frankgrillo,Thriller,,shattered,Thriller  cameronmonaghan lillykrug frankgrillo luisprieto
790142,rickjacobson,lauramarano,menamassoud,chelsieprestoncrayford,Romance Comedy,comedi,the royal treatment,Romance Comedy comedi lauramarano menamassoud chelsieprestoncrayford rickjacobson
698508,d.j.caruso,abigailcowen,tomlewis,ericdane,Romance Drama History,,redeeming love,Romance Drama History  abigailcowen tomlewis ericdane d.j.caruso
245842,seanmcnamara,piercebrosnan,kayascodelario,benjaminwalker,Fantasy Drama Romance History,based on novel or book period drama quest,the king's daughter,Fantasy Drama Romance History based on novel or book period drama quest piercebrosnan kayascodelario benjaminwalker seanmcnamara
793269,raygiarratana,dennisquaid,katharinemcphee,queenlatifah,Adventure Family,based on novel or book,the tiger rising,Adventure Family based on novel or book dennisquaid katharinemcphee queenlatifah raygiarratana
801691,justinlee,adriennebarbeau,gregbeaton,crashbuist,Horror Action,,hellblazers,Horror Action  adriennebarbeau gregbeaton crashbuist justinlee
795514,meganpark,jennaortega,maddieziegler,nilesfitch,Drama,trauma high school woman director,the fallout,Drama trauma high school woman director jennaortega maddieziegler nilesfitch meganpark
817648,charleskinnane,kevinjames,taylorlautner,robschneider,Family Comedy,"new orleans, louisiana sport hometown",home team,"Family Comedy new orleans, louisiana sport hometown kevinjames taylorlautner robschneider charleskinnane"
774825,johnc.donkin,simonpegg,vincenttong,aaronharris,Animation Comedy Adventure Family,spin off,the ice age adventures of buck wild,Animation Comedy Adventure Family spin off simonpegg vincenttong aaronharris johnc.donkin
689700,paulsolet,adrienbrody,glennfleshler,richiemerritt,Crime,new york c reveng drug us christma,clean,Crime new york c reveng drug us christma adrienbrody glennfleshler richiemerritt paulsolet
854359,michelfranco,timroth,charlottegainsbourg,iazualarios,Drama,wealthy man,sundown,Drama wealthy man timroth charlottegainsbourg iazualarios michelfranco
656663,jefftremaine,johnnyknoxville,steve-o,chrispontius,Comedy Documentary,,jackass forever,Comedy Documentary  johnnyknoxville steve-o chrispontius jefftremaine
406759,rolandemmerich,halleberry,patrickwilson,johnbradley,Science Fiction,space travel alien life-form,moonfall,Science Fiction space travel alien life-form halleberry patrickwilson johnbradley rolandemmerich
557946,timkirkby,charliehunnam,melgibson,morenabaccarin,Action Crime Thriller,,last looks,Action Crime Thriller  charliehunnam melgibson morenabaccarin timkirkby
925705,richragsdale,scouttaylor-compton,nolangerardfunk,deborahkaraunger,Horror,,the long night,Horror  scouttaylor-compton nolangerardfunk deborahkaraunger richragsdale
800510,stevensoderbergh,zoëkravitz,byronbowers,jaimecamil,Thriller,mental il covid-19,kimi,Thriller mental il covid-19 zoëkravitz byronbowers jaimecamil stevensoderbergh
629015,d.j.caruso,raineyqualley,vincentgallo,jakehorowitz,Thriller Horror Drama,,shut in,Thriller Horror Drama  raineyqualley vincentgallo jakehorowitz d.j.caruso
505026,kennethbranagh,kennethbranagh,galgadot,armiehammer,Mystery Drama Crime Thriller Action Adventure,detect based on novel or book remak thriller murder mysteri 1930s,death on the nile,Mystery Drama Crime Thriller Action Adventure detect based on novel or book remak thriller murder mysteri 1930s kennethbranagh galgadot armiehammer kennethbranagh
615904,katcoiro,jenniferlopez,owenwilson,maluma,Romance Comedy Music,marriag celebr based on com wed duringcreditssting,marry me,Romance Comedy Music marriag celebr based on com wed duringcreditssting jenniferlopez owenwilson maluma katcoiro
823625,markwilliams,liamneeson,emmyraver-lampman,taylorjohnsmith,Action Thriller,,blacklight,Action Thriller  liamneeson emmyraver-lampman taylorjohnsmith markwilliams
680860,jasonorley,jennyslate,charlieday,scotteastwood,Comedy Romance,break-up,i want you back,Comedy Romance break-up jennyslate charlieday scotteastwood jasonorley
772272,emilyting,avamichelle,griffingluck,sabrinacarpenter,Comedy Romance,high school sequel romanc teen movi,tall girl 2,Comedy Romance high school sequel romanc teen movi avamichelle griffingluck sabrinacarpenter emilyting
640265,josephinedecker,gracekaufman,jacquescolimon,cherryjones,Drama Romance Music,loss of loved on based on novel or book grief teenage girl based on young adult novel,the sky is everywhere,Drama Romance Music loss of loved on based on novel or book grief teenage girl based on young adult novel gracekaufman jacquescolimon cherryjones josephinedecker
818750,arieposin,joeyking,kyleallen,kimdickens,Romance Science Fiction Drama,,the in between,Romance Science Fiction Drama  joeyking kyleallen kimdickens arieposin
890656,roelreiné,ikouwais,lewistan,lawrencekao,Action Fantasy,martial art based on tv seri,fistful of vengeance,Action Fantasy martial art based on tv seri ikouwais lewistan lawrencekao roelreiné
335787,rubenfleischer,tomholland,markwahlberg,sophiaali,Action Adventure,based on video gam duringcreditssting,uncharted,Action Adventure based on video gam duringcreditssting tomholland markwahlberg sophiaali rubenfleischer
626735,channingtatum,channingtatum,janeadams,kevinnash,Drama Comedy,dog hero,dog,Drama Comedy dog hero channingtatum janeadams kevinnash channingtatum
632727,davidbluegarcia,sarahyarkin,elsiefisher,markburnham,Horror Thriller,texa sequel murder gore serial kil decapit slasher cannib body mutil reboot,texas chainsaw massacre,Horror Thriller texa sequel murder gore serial kil decapit slasher cannib body mutil reboot sarahyarkin elsiefisher markburnham davidbluegarcia
630392,seanellis,kellyreilly,boydholbrook,alistairpetrie,Horror Fantasy Mystery,world war i flashback gore werewolf church 1800s,the cursed,Horror Fantasy Mystery world war i flashback gore werewolf church 1800s kellyreilly boydholbrook alistairpetrie seanellis
830027,erikpetercarlson,emilyshenaut,brianhull,bridgetwinder,Adventure Family Fantasy,,a fairy tale after all,Adventure Family Fantasy  emilyshenaut brianhull bridgetwinder erikpetercarlson
730047,joewright,peterdinklage,haleybennett,kelvinharrisonjr.,Drama Romance,music remak,cyrano,Drama Romance music remak peterdinklage haleybennett kelvinharrisonjr. joewright
895744,b.j.mcdonnell,davegrohl,taylorhawkins,natemendel,Horror Comedy Music,decapit demonic possess cannib,studio 666,Horror Comedy Music decapit demonic possess cannib davegrohl taylorhawkins natemendel b.j.mcdonnell
845404,tylerperry,tylerperry,cassidavis,davidmann,Comedy,,a madea homecoming,Comedy  tylerperry cassidavis davidmann tylerperry
